FIPS,County or equivalent,State or equivalent
1001,AUTAUGA COUNTY,ALABAMA
1003,BALDWIN COUNTY,ALABAMA
1005,BARBOUR COUNTY,ALABAMA
1007,BIBB COUNTY,ALABAMA
1009,BLOUNT COUNTY,ALABAMA
1011,BULLOCK COUNTY,ALABAMA
1013,BUTLER COUNTY,ALABAMA
1015,CALHOUN COUNTY,ALABAMA
1017,CHAMBERS COUNTY,ALABAMA
1019,CHEROKEE COUNTY,ALABAMA
1021,CHILTON COUNTY,ALABAMA
1023,CHOCTAW COUNTY,ALABAMA
1025,CLARKE COUNTY,ALABAMA
1027,CLAY COUNTY,ALABAMA
1029,CLEBURNE COUNTY,ALABAMA
1031,COFFEE COUNTY,ALABAMA
1033,COLBERT COUNTY,ALABAMA
1035,CONECUH COUNTY,ALABAMA
1037,COOSA COUNTY,ALABAMA
1039,COVINGTON COUNTY,ALABAMA
1041,CRENSHAW COUNTY,ALABAMA
1043,CULLMAN COUNTY,ALABAMA
1045,DALE COUNTY,ALABAMA
1047,DALLAS COUNTY,ALABAMA
1049,DEKALB COUNTY,ALABAMA
1051,ELMORE COUNTY,ALABAMA
1053,ESCAMBIA COUNTY,ALABAMA
1055,ETOWAH COUNTY,ALABAMA
1057,FAYETTE COUNTY,ALABAMA
1059,FRANKLIN COUNTY,ALABAMA
1061,GENEVA COUNTY,ALABAMA
1063,GREENE COUNTY,ALABAMA
1065,HALE COUNTY,ALABAMA
1067,HENRY COUNTY,ALABAMA
1069,HOUSTON COUNTY,ALABAMA
1071,JACKSON COUNTY,ALABAMA
1073,JEFFERSON COUNTY,ALABAMA
1075,LAMAR COUNTY,ALABAMA
1077,LAUDERDALE COUNTY,ALABAMA
1079,LAWRENCE COUNTY,ALABAMA
1081,LEE COUNTY,ALABAMA
1083,LIMESTONE COUNTY,ALABAMA
1085,LOWNDES COUNTY,ALABAMA
1087,MACON COUNTY,ALABAMA
1089,MADISON COUNTY,ALABAMA
1091,MARENGO COUNTY,ALABAMA
1093,MARION COUNTY,ALABAMA
1095,MARSHALL COUNTY,ALABAMA
1097,MOBILE COUNTY,ALABAMA
1099,MONROE COUNTY,ALABAMA
1101,MONTGOMERY COUNTY,ALABAMA
1103,MORGAN COUNTY,ALABAMA
1105,PERRY COUNTY,ALABAMA
1107,PICKENS COUNTY,ALABAMA
1109,PIKE COUNTY,ALABAMA
1111,RANDOLPH COUNTY,ALABAMA
1113,RUSSELL COUNTY,ALABAMA
1115,SAINT CLAIR COUNTY,ALABAMA
1117,SHELBY COUNTY,ALABAMA
1119,SUMTER COUNTY,ALABAMA
1121,TALLADEGA COUNTY,ALABAMA
1123,TALLAPOOSA COUNTY,ALABAMA
1125,TUSCALOOSA COUNTY,ALABAMA
1127,WALKER COUNTY,ALABAMA
1129,WASHINGTON COUNTY,ALABAMA
1131,WILCOX COUNTY,ALABAMA
1133,WINSTON COUNTY,ALABAMA
2013,ALEUTIANS EAST BOROUGH,ALASKA
2016,ALEUTIANS WEST CENSUS AREA,ALASKA
2020,ANCHORAGE,ALASKA
2050,BETHEL CENSUS AREA,ALASKA
2060,BRISTOL BAY BOROUGH,ALASKA
2068,DENALI BOROUGH,ALASKA
2070,DILLINGHAM CENSUS AREA,ALASKA
2090,FAIRBANKS NORTH STAR BOROUGH,ALASKA
2100,HAINES BOROUGH,ALASKA
2105,HOONAH–ANGOON CENSUS AREA,ALASKA
2110,JUNEAU,ALASKA
2122,KENAI PENINSULA BOROUGH,ALASKA
2130,KETCHIKAN GATEWAY BOROUGH,ALASKA
2150,KODIAK ISLAND BOROUGH,ALASKA
2158,KUSILVAK CENSUS AREA,ALASKA
2164,LAKE AND PENINSULA BOROUGH,ALASKA
2170,MATANUSKA-SUSITNA BOROUGH,ALASKA
2180,NOME CENSUS AREA,ALASKA
2185,NORTH SLOPE BOROUGH,ALASKA
2188,NORTHWEST ARCTIC BOROUGH,ALASKA
2195,PETERSBURG BOROUGH,ALASKA
2198,PRINCE OF WALES – HYDER CENSUS AREA,ALASKA
2220,SITKA,ALASKA
2230,SKAGWAY,ALASKA
2240,SOUTHEAST FAIRBANKS CENSUS AREA,ALASKA
2261,VALDEZ–CORDOVA CENSUS AREA,ALASKA
2275,WRANGELL,ALASKA
2282,YAKUTAT,ALASKA
2290,YUKON–KOYUKUK CENSUS AREA,ALASKA
60010,EASTERN DISTRICT,AMERICAN SAMOA
60020,MANU'A DISTRICT,AMERICAN SAMOA
60030,ROSE ATOLL (ROSE ISLAND),AMERICAN SAMOA
60040,SWAIN'S ISLAND,AMERICAN SAMOA
60050,WESTERN DISTRICT,AMERICAN SAMOA
4001,APACHE COUNTY,ARIZONA
4003,COCHISE COUNTY,ARIZONA
4005,COCONINO COUNTY,ARIZONA
4007,GILA COUNTY,ARIZONA
4009,GRAHAM COUNTY,ARIZONA
4011,GREENLEE COUNTY,ARIZONA
4012,LA PAZ COUNTY,ARIZONA
4013,MARICOPA COUNTY,ARIZONA
4015,MOHAVE COUNTY,ARIZONA
4017,NAVAJO COUNTY,ARIZONA
4019,PIMA COUNTY,ARIZONA
4021,PINAL COUNTY,ARIZONA
4023,SANTA CRUZ COUNTY,ARIZONA
4025,YAVAPAI COUNTY,ARIZONA
4027,YUMA COUNTY,ARIZONA
5001,ARKANSAS COUNTY,ARKANSAS
5003,ASHLEY COUNTY,ARKANSAS
5005,BAXTER COUNTY,ARKANSAS
5007,BENTON COUNTY,ARKANSAS
5009,BOONE COUNTY,ARKANSAS
5011,BRADLEY COUNTY,ARKANSAS
5013,CALHOUN COUNTY,ARKANSAS
5015,CARROLL COUNTY,ARKANSAS
